id,skills
92779539,spark
92780979,ms sql
92780979,sql
92780979,dwh
92803313,metabase
92803313,аналитика
92803313,статистика
92803313,power bi
92803313,numpy
92803313,python
92803313,pandas
92803313,английский язык
92803313,clickhouse
92803313,airflow
92803313,финансовая аналитика
92803313,postgresql
92803313,sql
92831135,
92831135,linux
92831135,python
92831135,базы данных
92831135,excel
92831135,ms access
92831135,vba
92831135,sql
92831135,аналитическое мышление
92846794,etl
92846794,ms sql
92846794,dwh
92846794,sql
92846794,oracle
92847148,
92847148,python
92847148,big data
92847148,hadoop
92847148,субд
92847148,sql
92847148,spark
92906066,bert
92906066,pytorch
92906066,gpt
92906066,python
92906066,llm
92906066,nlp
92906066,tensorflow
92977088,статистика
92977088,numpy
92977088,python
92977088,pandas
92977088,excel
92977088,sql
93047747,bi
93047747,аналитические исследования
93047747,аналитика
93047747,финансовый анализ
93047747,power bi
93047747,статистический анализ
93047747,python
93047747,tableau
93047747,ms sql
93047747,бизнес-анализ
93047747,прогнозирование
93047747,excel
93047747,powerpoint
93047747,sql
93047747,работа с базами данных
93047747,power query
93100647,английский язык
93100647,excel
93100647,excel
93100647,api
93100647,sql
93131495,
93131495,excel
93131495,sql
93131495,работа с базами данных
93131495,аналитическое мышление
93141100,numpy
93141100,python
93141100,pandas
93141100,excel
93141100,sql
93141100,oracle
93147580,sql
93147580,excel
93157368,bi
93157368,sql
93157368,python
93173164,etl
93173164,python
93173164,big data
93173164,dwh
93173164,sql
93173164,git
93173164,airflow
93187224,работа в команде
93187224,английский язык
93187224,подготовка презентаций
93187224,excel
93197106,
93200927,python
93200927,clickhouse
93200927,llm
93200927,hadoop
93200927,docker
93200927,postgresql
93200927,airflow
93200927,oracle
93200927,nlp
93208814,
93208814,аналитика
93208814,ms sql
93208814,excel
93208814,sql
93208814,работа с базами данных
93292162,
93292162,bi
93292162,python
93292162,excel
93292162,clickhouse
93292162,excel
93292162,tableau
93292162,sql
93292162,git
93337111,
93337111,power bi
93337111,python
93337111,powerpoint
93337111,субд
93337111,excel
93337111,sql
93337111,аналитическое мышление
93365519,
93365519,bi
93365519,power bi
93365519,python
93365519,dwh
93365519,tableau
93365519,sql
93367114,
93367114,bi
